match_id,date,team1,team2,winner,first_innings_total,dls_target,dls_overs,inn2_score_at_end,inn2_overs_bowled,inn2_wickets_at_end,current_score,ml_predicted_score,ml_target,dls_win_prediction,ml_win_prediction,actual_team2_won,target_diff
562439,2012-06-07,Sri Lanka,Pakistan,Pakistan,135.0,135.0,42,135,35,4,135,158.5,159,1,0,1.0,24.0
567369,2013-03-15,South Africa,Pakistan,Pakistan,191.0,192.0,44,192,40,4,192,199.7,200,1,0,1.0,8.0
578622,2013-06-14,South Africa,West Indies,,230.0,191.0,26,190,27,6,190,237.8,238,0,0,,47.0
578623,2013-06-15,India,Pakistan,India,165.0,102.0,22,102,20,2,102,178.9,179,1,0,0.0,77.0
582188,2012-11-04,Sri Lanka,New Zealand,Sri Lanka,250.0,105.0,22,118,23,3,118,189.9,190,1,0,0.0,85.0
582189,2012-11-06,Sri Lanka,New Zealand,Sri Lanka,188.0,197.0,33,200,32,3,200,213.2,214,1,0,0.0,17.0
582190,2012-11-10,Sri Lanka,New Zealand,Sri Lanka,131.0,131.0,32,131,27,3,131,175.5,176,1,0,0.0,45.0
597926,2013-07-05,West Indies,India,India,311.0,274.0,39,171,34,10,171,200.0,201,0,0,1.0,-73.0
597927,2013-07-07,West Indies,Sri Lanka,Sri Lanka,219.0,230.0,41,190,41,9,190,197.8,198,0,0,1.0,-32.0
597928,2013-07-09,India,Sri Lanka,India,119.0,178.0,26,96,25,10,96,145.1,146,0,0,0.0,-32.0
601612,2013-05-23,Ireland,Pakistan,,266.0,276.0,47,275,47,5,275,265.3,276,0,0,,0.0
602474,2013-03-23,Sri Lanka,Bangladesh,Sri Lanka,259.0,238.0,41,238,36,2,238,260.1,261,1,0,0.0,23.0
602476,2013-03-28,Sri Lanka,Bangladesh,Bangladesh,302.0,183.0,27,184,26,7,184,238.1,239,1,0,1.0,56.0
635654,2013-07-23,Sri Lanka,South Africa,Sri Lanka,223.0,122.0,21,104,21,5,104,175.6,176,0,0,0.0,54.0
645641,2013-07-21,West Indies,Pakistan,Pakistan,261.0,189.0,31,189,30,4,189,249.7,250,1,0,1.0,61.0
64820,2003-05-17,Australia,West Indies,Australia,270.0,208.0,37,205,37,8,205,229.4,230,0,0,0.0,22.0
64829,2003-06-11,Sri Lanka,West Indies,West Indies,191.0,160.0,42,160,37,4,160,199.0,199,1,0,1.0,39.0
64840,2003-10-07,Pakistan,South Africa,South Africa,243.0,209.0,45,221,45,6,221,237.0,238,1,0,1.0,29.0
64851,2003-11-29,West Indies,Zimbabwe,West Indies,256.0,223.0,32,150,32,7,150,181.8,182,0,0,0.0,-41.0
64887,2004-04-20,Zimbabwe,Sri Lanka,Sri Lanka,211.0,133.0,27,144,27,4,144,196.1,197,1,0,1.0,64.0
64922,2005-01-30,South Africa,England,England,175.0,78.0,25,103,26,3,103,163.2,164,1,0,1.0,86.0
65236,2003-02-10,Zimbabwe,Namibia,Zimbabwe,340.0,191.0,25,104,26,5,104,158.2,159,0,0,0.0,-32.0
65248,2003-02-16,South Africa,New Zealand,New Zealand,306.0,226.0,39,229,37,1,229,268.7,269,1,0,1.0,43.0
65272,2003-03-03,Sri Lanka,South Africa,,268.0,230.0,45,229,45,6,229,239.4,240,0,0,,10.0
65284,2003-03-18,Australia,Sri Lanka,Australia,212.0,172.0,38,123,39,7,123,154.6,155,0,0,0.0,-17.0
656427,2015-02-24,West Indies,Zimbabwe,West Indies,372.0,363.0,48,289,45,10,289,284.6,290,0,0,0.0,-73.0
656455,2015-03-07,Pakistan,South Africa,Pakistan,222.0,232.0,47,202,34,10,202,206.0,206,0,0,0.0,-26.0
65649,2004-01-22,India,Australia,Australia,296.0,225.0,34,225,34,8,225,258.2,259,1,0,1.0,34.0
656491,2015-03-24,New Zealand,South Africa,New Zealand,281.0,298.0,43,299,43,6,299,286.0,300,1,0,0.0,2.0
661691,2014-01-04,New Zealand,West Indies,New Zealand,285.0,193.0,33,134,34,5,134,191.8,192,0,0,0.0,-1.0
66205,2004-09-17,England,Sri Lanka,England,251.0,145.0,24,95,24,5,95,144.4,145,0,0,0.0,0.0
66374,2004-08-21,Pakistan,India,Pakistan,192.0,194.0,33,127,27,10,127,174.2,175,0,0,0.0,-19.0
667643,2014-01-22,New Zealand,India,New Zealand,271.0,293.0,41,277,42,9,277,257.2,278,0,0,0.0,-15.0
667723,2014-08-27,England,India,India,304.0,295.0,47,161,39,10,161,180.7,181,0,0,1.0,-114.0
667889,2014-05-22,England,Sri Lanka,England,247.0,226.0,32,144,28,10,144,185.0,185,0,0,0.0,-41.0
668953,2013-10-29,Bangladesh,New Zealand,Bangladesh,265.0,206.0,33,162,30,9,162,211.3,212,0,0,0.0,6.0
668963,2013-11-12,Sri Lanka,New Zealand,New Zealand,138.0,198.0,23,203,23,6,203,186.5,204,1,0,1.0,6.0
668965,2013-11-16,Sri Lanka,New Zealand,Sri Lanka,211.0,163.0,25,126,25,6,126,203.2,204,0,0,0.0,41.0
684679,2014-05-09,Scotland,England,England,167.0,173.0,20,133,20,9,133,174.9,175,0,0,1.0,2.0
722339,2015-01-16,South Africa,West Indies,South Africa,279.0,226.0,32,164,29,10,164,218.7,219,0,0,0.0,-7.0
722389,2014-08-21,England,India,England,193.0,112.0,30,153,31,3,153,204.7,205,1,0,0.0,93.0
743945,2015-06-12,England,New Zealand,New Zealand,398.0,379.0,46,365,46,9,365,313.6,366,0,0,1.0,-13.0
743951,2015-06-20,England,New Zealand,England,283.0,192.0,26,192,25,7,192,248.3,249,1,0,0.0,57.0
743973,2015-08-27,Ireland,Australia,Australia,222.0,181.0,24,157,24,10,157,192.7,193,0,0,1.0,12.0
744679,2014-06-15,Bangladesh,India,India,272.0,150.0,26,153,25,3,153,222.0,222,1,0,1.0,72.0
744681,2014-06-17,Bangladesh,India,India,105.0,106.0,41,58,18,10,58,103.9,104,0,0,1.0,-2.0
745159,2014-08-23,Sri Lanka,Pakistan,Pakistan,275.0,275.0,45,277,45,6,277,276.1,278,1,0,1.0,3.0
